ï»¿Constituency,Name,Gender,Party,State,Education,Electors,Votes,Turn out,Margin,Margin %,Type
Adilabad,Soyam Babu Rao,Male,BJP,Telangana,12th Pass,"13,82,837","10,63,730",0.779,58560,0.055,ST
Agra,Satya Pal Singh Baghel,Male,BJP,Uttar Pradesh,Doctorate,"18,66,262","11,45,323",0.617,"2,11,546",0.185,SC
Ahmadnagar,Sujay Radhakrishna Vikhepatil,Male,BJP,Maharashtra,Doctorate,"17,93,677","12,03,797",0.673,"2,81,474",0.234,GEN
Ahmedabad East,Hasmukhbhai Somabhai Patel,Male,BJP,Gujarat,Others,"17,13,598","11,16,367",0.657,"4,34,330",0.389,GEN
Ahmedabad West,Kirit Premjibhai Solanki,Male,BJP,Gujarat,Post Graduate,"15,80,673","9,97,024",0.64,"3,21,546",0.323,SC
Ajmer,Bhagirath Chaudhary,Male,BJP,Rajasthan,12th Pass,"18,44,532","12,62,214",0.69,"4,16,424",0.33,GEN
Akbarpur,Devendra Singh Bhole,Male,BJP,Uttar Pradesh,,"17,14,490","10,25,314",0.603,"2,75,142",0.268,GEN
Akola,Sanjay Shamrao Dhotre,Male,BJP,Maharashtra,Graduate Professional,"17,57,645","11,19,440",0.642,"2,75,596",0.246,GEN
Alappuzha,A. M. Arif,Male,CPI(M),Kerala,Graduate Professional,"12,98,061","10,88,728",0.843,10474,0.01,GEN
Alathur,Ramya Haridas,Female,INC,Kerala,10th Pass,"12,19,063","10,18,743",0.842,"1,58,968",0.156,SC
Aligarh,Satish Kumar Gautam,Male,BJP,Uttar Pradesh,10th Pass,"18,47,005","11,63,184",0.633,"2,29,261",0.197,GEN
Alipurduars,John Barla,Male,BJP,West Bengal,8th Pass,"15,27,563","13,80,217",0.917,"2,43,989",0.177,ST
Allahabad,Rita Bahuguna Joshi,Female,BJP,Uttar Pradesh,Doctorate,"16,79,883","8,89,056",0.534,"1,84,275",0.207,GEN
Almora,Ajay Tamta,Male,BJP,Uttarakhand,12th Pass,"12,87,611","6,94,472",0.551,"2,32,986",0.335,SC
Alwar,Balak Nath,Male,BJP,Rajasthan,10th Pass,"20,59,180","12,65,674",0.617,"3,29,971",0.261,GEN
Amalapuram,Chinta Anuradha,Female,YSRCP,Andhra Pradesh,Graduate,"11,56,280","12,32,895",1.081,39795,0.032,
Ambala,Rattan Lal Kataria,Male,BJP,Haryana,Post Graduate,"17,57,524","13,16,235",0.753,"3,42,345",0.26,SC
Ambedkar Nagar,Ritesh Pandey,Male,Bahujan Samaj Party,Uttar Pradesh,Graduate,"17,44,287","10,90,152",0.632,95880,0.088,GEN
Amethi,Smriti Irani,Female,BJP,Uttar Pradesh,12th Pass,"17,03,510","9,42,453",0.556,55120,0.058,GEN
Amravati,Navnit Ravi Rana,Female,Independents,Maharashtra,10th Pass,"17,52,097","11,12,385",0.638,36951,0.033,SC
Amreli,Naranbhai Bhikhabhai Kachhadiya,Male,BJP,Gujarat,12th Pass,"16,02,346","9,09,167",0.578,"2,01,431",0.222,GEN
Amritsar,Gurjeet Singh Aujla,Male,INC,Punjab,12th Pass,"14,68,972","8,59,513",0.591,99626,0.116,GEN
Amroha,Kunwar Danish Ali,Male,Bahujan Samaj Party,Uttar Pradesh,Graduate,"15,96,897","11,69,182",0.736,63248,0.054,GEN
Anakapalli,Dr.beesetti Venkata Satyavathi,Female,YSRCP,Andhra Pradesh,Graduate Professional,"13,97,335","12,38,491",0.911,89192,0.072,
Anand,Mitesh Rameshbhai (Bakabhai) Patel,Male,BJP,Gujarat,Others,"16,14,307","11,08,661",0.698,"1,97,718",0.178,GEN
Anandpur Sahib,Manish Tewari,Male,INC,Punjab,Graduate Professional,"16,48,822","10,81,727",0.667,46884,0.043,GEN
Anantapur,Talari Rangaiah,Male,YSRCP,Andhra Pradesh,Doctorate,"14,89,758","13,42,306",0.912,"1,41,428",0.105,
Anantnag,Hasnain Masoodi,Male,Jammu and Kashmir National Conference,Jammu and Kashmir,Post Graduate,"13,01,023","1,24,896",0.097,6676,0.053,
Andaman and Nicobar Islands,Kuldeep Rai Sharma,Male,INC,Andaman and Nicobar Islands,Grad,"2,69,360","2,07,296",0.775,1407,0.007,GEN
Aonla,Dharmendra Kashyap,Male,BJP,Uttar Pradesh,10th Pass,"17,50,190","10,52,795",0.607,"1,13,743",0.108,GEN
Arakkonam,S. Jagathrakshakan,Male,DMK,TamilNadu,10th Pass,"14,61,110","11,78,060",0.815,"3,28,956",0.279,GEN
Arambagh,Aparupa Poddar,Female,TMC,West Bengal,Post Graduate,"16,31,133","14,71,981",0.915,1142,0.001,SC
Arani,M.K. Vishnu Prasad,Male,INC,TamilNadu,Graduate Professional,"14,07,725","11,43,907",0.825,"2,30,806",0.202,GEN
Araria,Pradeep Kumar Singh,Male,BJP,Bihar,10th Pass,"14,69,717","11,69,630",0.81,"1,37,241",0.117,GEN
Arrah,Raj Kumar Singh,Male,BJP,Bihar,Graduate Professional,"20,55,316","10,80,684",0.536,"1,47,285",0.136,GEN
Aruku,Goddeti Madhavi,Female,YSRCP,Andhra Pradesh,Graduate Professional,"13,58,657","10,74,538",0.826,"2,24,089",0.209,
Arunachal East,Tapir Gao,Male,BJP,Arunachal Pradesh,Post Graduate,"3,35,682","2,93,781",0.892,69948,0.238,GENP
Arunachal West,Kiren Rijiju,Male,BJP,Arunachal Pradesh,Graduate Professional,"4,58,680","3,58,310",0.785,"1,74,843",0.488,GENP
Asansol,Babul Supriyo,Male,BJP,West Bengal,Graduate,"17,70,467","12,38,135",0.708,"1,97,637",0.16,GEN
Aska,Pramila Bisoyi,Female,Biju Janata Dal,Odisha,5th Pass,"14,94,153","10,13,862",0.69,"2,04,707",0.202,GEN
Attingal,Adoor Prakash,Male,INC,Kerala,Graduate Professional,"13,13,675","10,04,888",0.769,38247,0.038,GEN
Aurangabad,Sushil Kumar Singh,Male,BJP,Bihar,Post Graduate,"17,37,821","9,41,595",0.555,72607,0.077,GEN
Aurangabad,Imitiaz Jaleel Syed,Male,AIMEIM,Maharashtra,Post Graduate,"17,62,823","11,98,221",0.683,4492,0.004,GEN
Autonomous District,Horen Sing Bey,Male,BJP,Assam,Graduate,"7,61,744","6,17,735",0.822,"2,39,626",0.388,ST
Azamgarh,Akhilesh Yadav,Male,Samajwadi Party,Uttar Pradesh,Graduate Professional,"17,73,820","10,29,112",0.584,"2,59,874",0.253,GEN
Badaun,Sanghmitra Maurya,Female,BJP,Uttar Pradesh,Graduate Professional,"21,99,914","10,81,108",0.495,18454,0.017,GEN
Bagalkot,Parvatagouda Chandanagouda Gaddigoudar,Male,BJP,Karnataka,Graduate Professional,"16,88,394","12,04,613",0.72,"1,68,187",0.14,GEN
Baghpat,Satya Pal Singh,Male,BJP,Uttar Pradesh,Post Graduate,"15,58,020","10,44,894",0.674,23502,0.022,GEN
Baharampur,Adhir Ranjan Chowdhury,Male,INC,West Bengal,10th Pass,"17,46,812","12,99,997",0.752,80696,0.062,GEN
Bahraich,Akshaibar Lal,Male,BJP,Uttar Pradesh,10th Pass,"16,86,646","9,89,848",0.595,"1,28,752",0.13,SC
Balaghat,Dhal Singh Bisen,Male,BJP,Madhya Pradesh,Others,"17,25,505","13,72,018",0.798,"2,42,066",0.176,GEN
Balasore,Pratap Chandra Sarangi,Male,BJP,Odisha,Graduate,"14,71,650","11,57,871",0.792,12956,0.011,GEN
Ballia,Virendra Singh Mast,Male,BJP,Uttar Pradesh,Graduate,"17,92,821","9,89,732",0.557,15519,0.016,GEN
Balurghat,Sukanta Majumdar,Male,BJP,West Bengal,Doctorate,"15,43,162","11,97,849",0.785,33293,0.028,GEN
Banaskantha,Parbhatbhai Savabhai Patel,Male,BJP,Gujarat,Graduate Professional,"15,12,076","11,02,081",0.737,"3,68,296",0.334,GEN
Banda,R. K. Singh Patel,Male,BJP,Uttar Pradesh,Graduate,"16,59,357","10,34,549",0.635,58938,0.057,GEN
Bangalore Central,P. C. Mohan,Male,BJP,Karnataka,12th Pass,"21,65,307","11,97,234",0.558,70968,0.059,GEN
Bangalore North,D.V. Sadananda Gowda,Male,BJP,Karnataka,Graduate Professional,"28,19,424","15,59,459",0.557,"1,47,518",0.095,GEN
Bangalore Rural,Doddaalahalli Kempegowda Suresh,Male,INC,Karnataka,12th Pass,"16,01,076","16,21,906",1.021,"2,06,870",0.128,GEN
Bangalore South,L.S. Tejasvi Surya,Male,BJP,Karnataka,Graduate Professional,"21,75,375","11,88,491",0.551,"3,31,192",0.279,GEN
Bangaon,Shantanu Thakur,Male,BJP,West Bengal,Graduate,"16,18,541","14,07,758",0.874,"1,11,594",0.079,SC
Banka,Giridhari Yadav,Male,JDU,Bihar,Post Graduate,"16,87,940","9,95,806",0.594,"2,00,532",0.201,GEN
Bankura,Subhas Sarkar,Male,BJP,West Bengal,Graduate Professional,"17,70,248","13,71,855",0.783,"1,74,333",0.127,GEN
Bansgaon,Kamlesh Paswan,Male,BJP,Uttar Pradesh,Graduate,"17,48,683","9,69,136",0.562,"1,53,468",0.158,SC
