Constituency,Name,Gender,Party,State,Education
Andaman and Nicobar Islands,Kuldeep Rai Sharma,Male,INC,Andaman and Nicobar Islands,Grad
Amalapuram,Chinta Anuradha,Female,YSRCP,Andhra Pradesh,Graduate
Anakapalli,Dr.beesetti Venkata Satyavathi,Female,YSRCP,Andhra Pradesh,Graduate Professional
Anantapur,Talari Rangaiah,Male,YSRCP,Andhra Pradesh,Doctorate
Aruku,Goddeti Madhavi,Female,YSRCP,Andhra Pradesh,Graduate Professional
Bapatla,Nandigam Suresh,Female,YSRCP,Andhra Pradesh,8th Pass
Chittoor,N. Reddeppa,Female,YSRCP,Andhra Pradesh,Post Graduate
Eluru,Kotagiri Sridhar,Female,YSRCP,Andhra Pradesh,Graduate
Guntur,Jayadev Galla,Male,TDP,Andhra Pradesh,Graduate
Hindupur,Kuruva Gorantla Madhav,Male,YSRCP,Andhra Pradesh,Graduate
Kadapa,Yeduguri Sandinti Avinash Reddy,Male,YSRCP,Andhra Pradesh,Post Graduate
Kakinada,Vanga Geethaviswanath,Female,YSRCP,Andhra Pradesh,Post Graduate
Kurnool,Ayushman Doctor Sanjeev Kumar,Male,YSRCP,Andhra Pradesh,Post Graduate
Machilipatnam,Balashowry Vallabhaneni,Male,YSRCP,Andhra Pradesh,Post Graduate
Nandyal,Pocha . Brahmananda Reddy,Male,YSRCP,Andhra Pradesh,Post Graduate
Narasaraopet,Lavu Sri Krishna Devarayalu,Male,YSRCP,Andhra Pradesh,Graduate Professional
Narsapuram,Kanumuru Raghu Rama Krishna Raju,Male,YSRCP,Andhra Pradesh,Post Graduate
Nellore,Adala Prabhakara Reddy,Male,YSRCP,Andhra Pradesh,12th Pass
Ongole,Magunta Sreenivasulu Reddy,Male,YSRCP,Andhra Pradesh,Graduate
Rajahmundry,Margani Bharat,Male,YSRCP,Andhra Pradesh,Graduate
Rajampet,P.v.midhun Reddy,Male,YSRCP,Andhra Pradesh,Post Graduate
Srikakulam,Rammohannaidu Kinjarapu,Male,TDP,Andhra Pradesh,Post Graduate
Tirupati,Balli Durga Prasad Rao,Male,YSRCP,Andhra Pradesh,Graduate Professional
Vijayawada,Kesineni Srinivas (nani),Male,TDP,Andhra Pradesh,10th Pass
Visakhapatnam,M V V Satyanarayana,Male,YSRCP,Andhra Pradesh,10th Pass
Vizianagaram,Bellana Chandra Sekhar,Male,YSRCP,Andhra Pradesh,Graduate Professional
Arunachal West,Kiren Rijiju,Male,BJP,Arunachal Pradesh,Graduate Professional
Arunachal East,Tapir Gao,Male,BJP,Arunachal Pradesh,Post Graduate
Barpeta,Abdul Khaleque,Male,INC,Assam,Post Graduate
Autonomous District,Horen Sing Bey,Male,BJP,Assam,Graduate
Dhubri,Badruddin Ajmal,Male,All India United Democratic Front,Assam,Post Graduate
Dibrugarh,Rameswar Teli,Male,BJP,Assam,10th Pass
Gauhati,Queen Oja,Female,BJP,Assam,Graduate
Jorhat,Topon Kumar Gogoi,Male,BJP,Assam,Post Graduate
Kaliabor,Gaurav Gogoi,Male,INC,Assam,Post Graduate
Karimganj,Kripanath Mallah,Male,BJP,Assam,Graduate
Kokrajhar,Naba (Hira) Kumar Sarania,Male,Independent,Assam,12th Pass
Lakhimpur,Pradan Baruah,Male,BJP,Assam,12th Pass
Mangaldoi,Dilip Saikia,Male,BJP,Assam,Graduate
Nowgong,Pradyut Bordoloi,Male,INC,Assam,Post Graduate
Silchar,Rajdeep Roy,Male,BJP,Assam,Post Graduate
Tezpur,Pallab Lochan Das,Male,BJP,Assam,Graduate
Araria,Pradeep Kumar Singh,Male,BJP,Bihar,10th Pass
Arrah,Raj Kumar Singh,Male,BJP,Bihar,Graduate Professional
Aurangabad,Sushil Kumar Singh,Male,BJP,Bihar,Post Graduate
Banka,Giridhari Yadav,Male,JDU,Bihar,Post Graduate
Begusarai,Giriraj Singh,Male,BJP,Bihar,Graduate
Bhagalpur,Ajay Kumar Mandal,Male,JDU,Bihar,8th Pass
Buxar,Ashwini Kumar Choubey,Male,BJP,Bihar,Graduate
Darbhanga,Gopal Jee Thakur,Male,BJP,Bihar,Post Graduate
Gaya,Vijay Kumar,Male,JDU,Bihar,12th Pass
Gopalganj,Alok Kumar Suman,Male,JDU,Bihar,Post Graduate
Hajipur,Pashu Pati Kumar Paras,Male,LJSP,Bihar,Graduate Professional
Jahanabad,Chandeshwar Prasad,Male,JDU,Bihar,10th Pass
Jamui,Chirag Paswan,Male,LJSP,Bihar,Graduate Professional
Jhanjharpur,Rampreet Mandal,Male,JDU,Bihar,10th Pass
Katihar,Dulal Chandra Goswami,Male,JDU,Bihar,8th Pass
Khagaria,Mehboob Ali Kaiser,Male,LJSP,Bihar,Graduate
Kishanganj,Mohammad Jawed,Male,INC,Bihar,Graduate
Madhepura,Dinesh Chandra Yadav,Male,JDU,Bihar,Graduate Professional
Madhubani,Ashok Kumar Yadav,Male,BJP,Bihar,Graduate Professional
Maharajganj,Janardan Singh Sigriwal,Male,BJP,Bihar,Doctorate
Munger,Rajiv Ranjan (Lalan) Singh,Male,JDU,Bihar,Graduate
Muzaffarpur,Ajay Nishad,Male,BJP,Bihar,Graduate
Nalanda,Kaushalendra Kumar,Male,JDU,Bihar,Graduate
Nawada,Chandan Singh,Male,LJSP,Bihar,12th Pass
Paschim Champaran,Sanjay Jaiswal,Male,BJP,Bihar,Graduate
Pataliputra,Ram Kripal Yadav,Male,BJP,Bihar,Post Graduate
Patna Sahib,Ravi Shankar Prasad,Male,BJP,Bihar,Graduate
Purnia,Santosh Kumar,Male,JDU,Bihar,Post Graduate
Purvi Champaran,Radha Mohan Singh,Male,BJP,Bihar,12th Pass
Samastipur,Prince Raj,Male,LJSP,Bihar,Graduate
Samastipur,Ramchandra Paswan,Male,LJSP,Bihar,10th Pass
Saran,Rajiv Pratap Rudy,Male,BJP,Bihar,Post Graduate
Sasaram,Chhedi Paswan,Male,BJP,Bihar,
Sheohar,Rama Devi,Female,BJP,Bihar,Graduate Professional
Sitamarhi,Sunil Kumar (Pintu),Male,JDU,Bihar,Graduate
Siwan,Kavita Singh,Female,JDU,Bihar,Post Graduate
Supaul,Dileshwar Kamait,Male,JDU,Bihar,Graduate
Ujiarpur,Nityanand Rai,Male,BJP,Bihar,Graduate
Vaishali,Veena Devi,Female,LJSP,Bihar,10th Pass
Valmiki Nagar,Baidyanath Prasad Mahto,Male,JDU,Bihar,10th Pass
Chandigarh,Kirron Anupam Kher,Female,BJP,Chandigarh,Post Graduate
Kanker,Mohan Mandavi,Male,BJP,Chhattisgarh,Post Graduate
Janjgir-Champa,Guharam Ajgalley,Male,BJP,Chhattisgarh,Graduate Professional
Bastar,Deepak Baij,Male,INC,Chhattisgarh,Graduate
Bilaspur,Arun Sao,Male,BJP,Chhattisgarh,Graduate Professional
Durg,Vijay Baghel,Male,BJP,Chhattisgarh,Post Graduate
Korba,Jyotsna Charandas Mahant,Female,INC,Chhattisgarh,Post Graduate
Mahasamund,Chunni Lal Sahu,Male,BJP,Chhattisgarh,Graduate
Raigarh,Gomati Sai,Female,BJP,Chhattisgarh,12th Pass
Raipur,Sunil Kumar Soni,Male,BJP,Chhattisgarh,Graduate
Rajnandgaon,Santosh Pandey,Male,BJP,Chhattisgarh,Graduate Professional
Surguja,Renuka Singh Saruta,Female,BJP,Chhattisgarh,12th Pass
Dadra and Nagar Haveli,Mohanbhai Delkar,Male,Independent,Dadra and Nagar Haveli,Graduate
Daman and Diu,Lalubhai Babubhai Patel,Male,BJP,Daman and Diu,8th Pass
Chandni Chowk,Harsh Vardhan,Male,BJP,Delhi,Post Graduate
East Delhi,Manoj Tiwari,Male,BJP,Delhi,12th Pass
New Delhi,Meenakashi Lekhi,Female,BJP,Delhi,Graduate Professional
North East Delhi,Gautam Gambhir,Male,BJP,Delhi,Post Graduate
North West Delhi,Raj Hans Hans,Male,BJP,Delhi,10th Pass
South Delhi,Ramesh Bidhuri,Male,BJP,Delhi,Graduate Professional
West Delhi,Parvesh Sahib Singh,Male,BJP,Delhi,Post Graduate
South Goa,Francisco Sardinha,Male,INC,Goa,Graduate Professional
North Goa,Shripad Yesso Naik,Male,BJP,Goa,Graduate
Ahmedabad East,Hasmukhbhai Somabhai Patel,Male,BJP,Gujarat,Others
Ahmedabad West,Kirit Premjibhai Solanki,Male,BJP,Gujarat,Post Graduate
Amreli,Naranbhai Bhikhabhai Kachhadiya,Male,BJP,Gujarat,12th Pass
Anand,Mitesh Rameshbhai (Bakabhai) Patel,Male,BJP,Gujarat,Others
Banaskantha,Parbhatbhai Savabhai Patel,Male,BJP,Gujarat,Graduate Professional
Bardoli,Prabhubhai Nagarbhai Vasava,Male,BJP,Gujarat,Others
Bharuch,Mansukhbhai Dhanjibhai Vasava,Male,BJP,Gujarat,Post Graduate
Bhavnagar,Bharati Dhirubhai Shyal,Female,BJP,Gujarat,Graduate Professional
Chhota Udaipur,Gitaben Vajesingbhai Rathva,Female,BJP,Gujarat,12th Pass
Dahod,Jaswantsinh Sumanbhai Bhabhor,Male,BJP,Gujarat,Graduate Professional
Gandhinagar,Amit Shah,Male,BJP,Gujarat,12th Pass
Jamnagar,Poonamben Hematbhai Maadam,Female,BJP,Gujarat,Graduate
Junagadh,Rajeshbhai Naranbhai Chudasama,Male,BJP,Gujarat,12th Pass
Kachchh,Vinod Chavda,Male,BJP,Gujarat,Post Graduate
Kheda,Devusinh Jesingbhai Chauhan,Male,BJP,Gujarat,Others
Mahesana,Shardaben Anilbhai Patel,Male,BJP,Gujarat,12th Pass
Navsari,C. R. Patil,Male,BJP,Gujarat,10th Pass
Panchmahal,Ratansinh Magansing Rathod,Male,BJP,Gujarat,Graduate Professional
Patan,Bharatsinhji Shankarji Dabhi,Male,BJP,Gujarat,Graduate
Porbandar,Rameshbhai Lavjibhai Dhaduk,Male,BJP,Gujarat,10th Pass
Rajkot,Mohanbhai Kalyanji Kundariya,Male,BJP,Gujarat,8th Pass
Sabarkantha,Dipsinh Shankarsinh Rathod,Male,BJP,Gujarat,8th Pass
Surat,Darshana Vikram Jardosh,Female,BJP,Gujarat,Graduate
Surendranagar,Mahendrabhai Munjapara,Male,BJP,Gujarat,Post Graduate
Vadodara,Ranjanben Dhananjay Bhatt,Female,BJP,Gujarat,12th Pass
Valsad,K. C. Patel,Male,BJP,Gujarat,Graduate Professional
Ambala,Rattan Lal Kataria,Male,BJP,Haryana,Post Graduate
Bhiwani-Mahendragarh,Dharambir Singh,Male,BJP,Haryana,Graduate
Faridabad,Krishan Pal Gurjar,Male,BJP,Haryana,Graduate Professional
Gurugram,Rao Inderjit Singh,Male,BJP,Haryana,Graduate Professional
Hisar,Brijendra Singh,Male,BJP,Haryana,Post Graduate
Karnal,Sanjay Bhatia,Male,BJP,Haryana,Graduate
Kurukshetra,Nayab Singh,Male,BJP,Haryana,Graduate Professional
Rohtak,Arvind Kumar Sharma,Male,BJP,Haryana,Post Graduate
Sirsa,Sunita Duggal,Female,BJP,Haryana,Post Graduate
Sonipat,Ramesh Chander Kaushik,Male,BJP,Haryana,Graduate Professiona
Mandi,Ram Swaroop Sharma,Male,BJP,Himachal Pradesh,10th Pass
Kangra,Kisan Kapoor,Male,BJP,Himachal Pradesh,12th Pass
Shimla,Suresh Kumar Kashyap,Male,BJP,Himachal Pradesh,Post Graduate
